zip,lat,lon,state
39232,32.3299,-90.0915,MS
39574,30.5961,-89.1477,MS
43003,40.4163,-82.9542,OH
44214,40.9637,-81.9958,OH
48740,44.6546,-83.3424,MI
49284,42.3805,-84.7039,MI
61345,41.2905,-89.7944,IL
62939,37.575,-88.9655,IL
75263,32.7673,-96.7776,TX
75326,32.7673,-96.7776,TX
10165,40.7524,-73.9791,NY
15417,40.0237,-79.8839,PA
30340,33.8932,-84.2539,GA
32522,30.4213,-87.2169,FL
32795,28.7448,-81.2233,FL
33569,27.845,-82.3125,FL
33592,28.0617,-82.3082,FL
48135,42.3242,-83.3402,MI
52362,42.0604,-90.994,IA
54180,44.3264,-88.1749,WI
54759,44.4587,-92.1394,WI
60192,42.0428,-88.0798,IL
78135,29.703,-98.1245,TX
86404,34.5575,-114.3307,AZ
99701,64.8378,-147.7164,AK
10510,41.1444,-73.835,NY
10702,40.9312,-73.8987,NY
12750,41.7296,-74.9611,NY
20113,38.7709,-77.4494,VA
20773,38.8159,-76.7497,MD
28146,35.6187,-80.4022,NC
34997,27.1398,-80.2129,FL
44312,41.0334,-81.4385,OH
46034,40.1298,-86.0381,IN
50311,41.601,-93.6729,IA
58259,48.0204,-98.1186,ND
71270,32.5308,-92.6439,LA
72338,35.4591,-90.1884,AR
75151,32.0624,-96.4735,TX
77470,29.5311,-96.5752,TX
85751,32.2217,-110.9265,AZ
27708,36.0287,-78.924,NC
46373,41.4495,-87.4764,IN
56054,44.4073,-94.4365,MN
65050,38.5466,-92.6817,MO
68456,40.9168,-97.3344,NE
75712,32.4112,-95.2899,TX
91962,32.835,-116.5127,CA
95071,37.2593,-122.0302,CA
95319,37.6382,-120.9005,CA
2904,41.8541,-71.4378,RI
6442,41.3421,-72.4404,CT
6483,41.3862,-73.0817,CT
22036,38.7351,-77.0797,VA
22435,37.9773,-76.5732,VA
50230,42.3241,-93.4234,IA
57754,44.263,-103.8712,SD
63010,38.4305,-90.387,MO
67013,37.4052,-97.2852,KS
72944,35.0432,-94.2204,AR
77376,30.4334,-94.6804,TX
92142,32.7153,-117.1573,CA
94144,37.7749,-122.4194,CA
98826,47.6438,-120.6748,WA
21740,39.632,-77.7372,MD
27289,36.3921,-79.7731,NC
37772,35.7883,-84.2188,TN
38450,35.1635,-87.7185,TN
70504,30.2139,-92.0187,LA
97622,42.3995,-121.0806,OR
1441,42.5459,-71.9106,MA
4073,43.4285,-70.7585,ME
10523,41.0572,-73.8136,NY
23845,36.5722,-77.9888,VA
27311,36.4899,-79.4736,NC
37831,36.106,-84.1958,TN
43659,41.6868,-83.4394,OH
53001,43.6151,-88.0254,WI
54821,46.2172,-91.2244,WI
62215,38.532,-89.6202,IL
63654,37.482,-90.8425,MO
98648,45.6882,-121.9093,WA
6027,42.0016,-72.9242,CT
17043,40.2469,-76.9001,PA
18050,,,
22554,38.4586,-77.4306,VA
26847,38.9908,-79.1293,WV
28670,36.2059,-80.927,NC
32565,30.8985,-87.1332,FL
37118,35.9221,-86.1824,TN
42048,36.7762,-88.2622,KY
60956,40.967,-87.7161,IL
80116,39.3728,-104.7256,CO
94621,37.7589,-122.1853,CA
95013,37.2123,-121.7416,CA
13207,43.0195,-76.165,NY
20056,38.8933,-77.0146,DC
24177,36.7241,-80.3581,VA
27052,36.3189,-80.1484,NC
28434,34.429,-78.4115,NC
35139,33.7111,-86.9759,AL
38549,36.5709,-85.1456,TN
42041,36.5475,-88.8749,KY
74041,35.9528,-96.061,OK
92105,32.7423,-117.0947,CA
92358,34.2558,-117.5186,CA
93042,34.1134,-119.1124,CA
2919,41.8274,-71.52,RI
3450,42.9399,-72.0972,NH
19550,40.4553,-76.2453,PA
28169,35.3615,-81.4287,NC
34610,28.4079,-82.5398,FL
35444,33.2775,-87.309,AL
35620,34.929,-86.9739,AL
40342,38.0189,-84.9299,KY
44011,41.4467,-82.0204,OH
49325,42.7661,-85.3133,MI
50264,40.8739,-93.7387,IA
63779,37.5007,-89.6396,MO
67025,37.6353,-97.7686,KS
70662,30.8277,-93.017,LA
70711,30.5149,-90.5964,LA
71465,31.8734,-92.2214,LA
73403,34.1743,-97.1436,OK
1525,42.0973,-71.6448,MA
2863,41.8883,-71.3945,RI
4014,43.3657,-70.6044,ME
15761,40.6373,-78.8823,PA
22438,38.0214,-76.9719,VA
27207,35.6129,-79.3726,NC
33043,24.68,-81.362,FL
34442,28.9223,-82.39,FL
36120,32.2334,-86.2085,AL
43780,39.9337,-81.458,OH
49880,46.0503,-87.1331,MI
52068,42.4435,-90.8094,IA
56444,46.4446,-93.8849,MN
